Stop_name, stop_Long, stop_Lat
Lincoln Blvd & Pershing Dr, 37.7921, -122.481
Lombard St & Divisadero St, 37.799, -122.442
Lombard St & Fillmore St, 37.7998, -122.436
Lombard St & Grant Ave, 37.8035, -122.408
Lombard St & Kearny St, 37.8037, -122.407
Lombard St & Laguna St, 37.8005, -122.431
Lombard St & Lyon St, 37.7985, -122.447
Lombard St & Pierce St, 37.7994, -122.439
Lombard St & Stockton St, 37.8033, -122.41
La Salle Ave & Ingalls St, 37.7308, -122.381
La Salle Ave & Newcomb Ave, 37.733, -122.385
La Salle Ave & Osceola Dr, 37.7325, -122.384
Louisburg St & Geneva Ave, 37.7216, -122.449
Louisburg St & Niagra Ave, 37.7204, -122.45
Letterman Dr/Tides Bldg, 37.7994, -122.452
Letterman Dr & Lincoln Blvd, 37.7992, -122.452
Lincoln Way & 3rd Ave, 37.7661, -122.46
Lincoln Way & 5th Ave, 37.7662, -122.462
Lincoln Way & 9th Ave, 37.766, -122.467
Lincoln Way & 15th Ave, 37.7657, -122.473
Lincoln Way & 17th Ave, 37.7656, -122.475
Lincoln Way & 19th Ave, 37.7655, -122.478
Lincoln Way & 21st Ave, 37.7654, -122.48
Lincoln Way & 25th Ave, 37.7652, -122.484
Lincoln Way & 27th Ave, 37.7651, -122.486
Lincoln Way & 29th Ave, 37.765, -122.488
Lincoln Way & 30th Ave, 37.7649, -122.489
Lincoln Way & 31st Ave, 37.7649, -122.49
Lincoln Way & 33rd Ave, 37.7648, -122.493
Lincoln Way & 35th Ave, 37.7648, -122.495
Lincoln Way & 47th Ave, 37.7642, -122.507
Lincoln Way & Arguello Blvd, 37.766, -122.458
Lincoln Way & Funston Ave, 37.7658, -122.471
Lincoln Way & Great Hwy, 37.7641, -122.51
Lincoln Way & La Playa St, 37.7639, -122.51
Lyell St & Alemany Blvd, 37.7306, -122.431
Lyon St & Greenwich St, 37.7974, -122.447
Main St & Howard St, 37.7911, -122.394
Main St & Mission St, 37.792, -122.395
Main St & Market St, 37.7925, -122.396
Mansell St & Brussels St, 37.7211, -122.403
Mansell St & Dartmouth St, 37.7196, -122.409
Mansell St & Goettingen St, 37.7207, -122.404
Mansell St & Hamilton St, 37.7201, -122.407
Mansell St & John F Shelley Dr, 37.7188, -122.418
Mansell St & San Bruno Ave, 37.7214, -122.401
Mansell St & Somerset St, 37.7204, -122.405
Mansell St & University St, 37.719, -122.411
Mansell St & Visitacion Ave, 37.7188, -122.411
Mason St & Broadway, 37.7972, -122.412
Mason St & Filbert St, 37.801, -122.413
Mason St & Greenwich St, 37.8019, -122.413
Mason St & Green St, 37.7991, -122.412
Mason St & Jackson St, 37.7955, -122.412
Mason St & Pacific Ave, 37.7962, -122.412
Mason St & Union St, 37.8, -122.412
Mason St & Vallejo St, 37.7982, -122.412
Mason St & Washington St, 37.7945, -122.411
Mcallister St & Baker St, 37.7774, -122.442
Mcallister St & Divisadero St, 37.7778, -122.438
Mcallister St & Fillmore St, 37.7786, -122.432
Mcallister St & Gough St, 37.7797, -122.424
Mcallister St & Hyde St, 37.7807, -122.416
Mcallister St & Larkin St, 37.7805, -122.417
Mcallister St & Laguna St, 37.7793, -122.427
Mcallister St & Pierce St, 37.7782, -122.435
Mcallister St & Van Ness Ave, 37.7801, -122.421
Metro Powell Station/Downtown, 37.7847, -122.407
Balboa Park BART/Mezzanine Level, 37.7218, -122.447
Metro Van Ness Station, 37.7751, -122.419
Monterey Blvd & Acadia St, 37.7317, -122.438
Monterey Blvd & Baden St, 37.7317, -122.44
Monterey Blvd & Congo St, 37.7317, -122.442
Monterey Blvd & Detroit St, 37.7316, -122.445
Monterey Blvd & Edna St, 37.7316, -122.446
Monterey Blvd & El Verano Way, 37.7301, -122.462
Monterey Blvd & Faxon Ave, 37.7307, -122.459
Monterey Blvd & Foerster St, 37.7316, -122.449
Monterey Blvd & Gennessee St, 37.7315, -122.451
Monterey Blvd & Northgate Dr, 37.73, -122.462
Monterey Blvd & Plymouth Ave, 37.7311, -122.457
Monterey Blvd & Ridgewood Ave, 37.7316, -122.453
Monterey Blvd & Saint Elmo WayE, 37.7306, -122.46
Monterey Blvd & San Aleso Ave, 37.7323, -122.465
Monterey Blvd & San Jacinto Way, 37.732, -122.464
Monterey Blvd & Valdez Ave, 37.7314, -122.456
Mt Vernon Ave & Howth St, 37.7197, -122.452
Mt Vernon Ave & Louisburg St, 37.7194, -122.451
555 Myra Way, 37.7382, -122.451
Myra Way & Dalewood Way, 37.7367, -122.454
Myra Way & Molimo Dr, 37.7378, -122.451
Myra Way & Omar Way, 37.7392, -122.45
North Point St & Hyde St, 37.8058, -122.42
North Point St & Jones St, 37.8062, -122.417
North Point St & Kearny St, 37.8074, -122.408
North Point St & Larkin St, 37.8056, -122.422
North Point St & Mason St, 37.8066, -122.414
North Point St & Polk St, 37.8053, -122.424
North Point St & Stockton St, 37.807, -122.41
North Point St & Van Ness Ave, 37.805, -122.425
Naples St & Athens St, 37.7125, -122.437
Naples St & Brunswick St, 37.7118, -122.438
Naples St & Brazil Ave, 37.7225, -122.43
Naples St & Curtis St, 37.7111, -122.439
Naples St & Geneva Ave, 37.7142, -122.436
Naples St & Rolph St, 37.7135, -122.437
Naples St & Seville St, 37.7117, -122.438
Newcomb Ave & Keith St, 37.7332, -122.386
Newcomb Ave & La Salle Ave, 37.733, -122.385
Newcomb Ave & Newhall St, 37.7363, -122.392
Newhall St & Oakdale Ave, 37.7358, -122.392
Middle Point Rd & Innes Ave, 37.7342, -122.38
Middle Point Rd & Acacia Ave, 37.737, -122.379
Middle Point Rd & West Point Rd, 37.7352, -122.379
Mendell St & Cargo Way, 37.7437, -122.383
Mendell St & Newhall St, 37.7425, -122.384
Mendell St/US Post Office, 37.7411, -122.384
Mendell St Opposite US Post Office, 37.7411, -122.385
V.A. Hospital, 37.7818, -122.504
126 Miraloma Dr, 37.7377, -122.461
Miraloma Dr & Bengal Aly, 37.7379, -122.461
Miraloma Dr & Juanita Way, 37.7394, -122.46
Mission St & Richland Ave, 37.7356, -122.425
Mission St & Russia Ave, 37.7215, -122.437
Mission St & Ruth St, 37.7233, -122.436
Mission St & Sickles Ave, 37.7087, -122.453
Mission St & Silver Ave, 37.7287, -122.431
Mission St & Spear St, 37.7924, -122.394
Mission St & Trumbull St, 37.7307, -122.429
Mission St & Valencia St, 37.7451, -122.42
Mission St & Whittier St, 37.7105, -122.448
Munich St & Cordova Ave, 37.7109, -122.435
Munich St & Geneva Ave, 37.7129, -122.433
Munich St & Naples St, 37.7112, -122.438
Galvez Ave & Robinson Ave, 37.7288, -122.367
33 Moffitt St, 37.7368, -122.432
Market St & 1st St, 37.7905, -122.4
Market St & 2nd St, 37.7894, -122.401
Market St & 3rd St, 37.7875, -122.404
Market St Between 4th & 3rd St, 37.7866, -122.405
Market St & 4th St, 37.7857, -122.406
Market St Between 5th & 4th St, 37.7848, -122.407
Market St & 5th St, 37.7839, -122.408
Market St & 6th St, 37.7821, -122.41
Market St & 7th St, 37.7798, -122.413
Market St & 8th St, 37.7786, -122.415
Market St & 9th St, 37.7774, -122.416
Market St & 15th St, 37.7657, -122.431
Market St & 16th St, 37.7639, -122.434
Market St & 5th  St, 37.7841, -122.408
Market St & Battery St, 37.7911, -122.399
Market St & Beale St, 37.7926, -122.397
Market St & Buchanan St, 37.7698, -122.426
Market St & Church St, 37.7677, -122.429
Market St & Clayton St, 37.7584, -122.444
Market St & Castro St, 37.7629, -122.435
Market St & 17th St, 37.763, -122.435
Market St & Dolores St, 37.7689, -122.427
Market St & Drumm St, 37.7935, -122.396
Market St & Front St, 37.7919, -122.398
Market St & Gough St, 37.7733, -122.422
Market St & Grant Ave, 37.7864, -122.405
Market St & Guerrero St, 37.7706, -122.425
Market St & Hyde St, 37.7791, -122.414
Market St & Kearny St, 37.7877, -122.403
Market St & Larkin St, 37.7776, -122.416
Market St & Laguna St, 37.771, -122.425
Market St & Main St, 37.793, -122.397
Market St & Mason St, 37.7828, -122.41
Market St & Montgomery St, 37.7885, -122.402
Market St & New Montgomery St, 37.7886, -122.402
Market St & Noe St, 37.7645, -122.433
Market St & Powell St, 37.7845, -122.408
Market St & Sansome St, 37.79, -122.4
Market St & Sanchez St, 37.7662, -122.431
Market St & South Van Ness Ave, 37.7751, -122.419
Market St & Steuart St, 37.7943, -122.395
Market St & Stockton St, 37.7858, -122.406
Market St & Taylor St, 37.7823, -122.41
Market St & Van Ness Ave, 37.7752, -122.419
Marview Way & Panorama Dr, 37.7536, -122.451
Moscow St & Brazil Ave, 37.7214, -122.428
Moscow St & Excelsior Ave, 37.7229, -122.426
Moscow St & France Ave, 37.7167, -122.431
Moscow St & Italy Ave, 37.7151, -122.432
Moscow St & Persia Ave, 37.7198, -122.429
Masonic Ave & Frederick St, 37.7675, -122.445
Masonic Ave & Fulton St, 37.7756, -122.447
Masonic Ave & Geary Blvd, 37.7822, -122.447
Plymouth Ave & Grafton Ave, 37.7199, -122.456
Plymouth Ave & Holloway Ave, 37.7219, -122.456
Plymouth Ave & Lakeview Ave, 37.7182, -122.456
Plymouth Ave & Lobos St, 37.715, -122.456
Plymouth Ave & Mangels Ave, 37.7321, -122.458
Plymouth Ave & Montana St, 37.7165, -122.456
Plymouth Ave & Monterey Blvd, 37.7311, -122.458
Plymouth Ave & Ocean Ave, 37.7238, -122.456
Plymouth Ave & Sagamore St, 37.7117, -122.456
Plymouth Ave & Thrift St, 37.7176, -122.456
Plymouth Ave & Yerba Buena Ave, 37.7326, -122.459
Panorama Dr & Dellbrook Ave, 37.7535, -122.453
Panorama Dr & Starview Way, 37.7493, -122.452
Polk St & Broadway, 37.7962, -122.422
Polk St & Francisco St, 37.8037, -122.423
Polk St & Lombard St, 37.8017, -122.423
Polk St & North Point St, 37.805, -122.424
Polk St & O'Farrell St, 37.7851, -122.42
Polk St & Pine St, 37.7898, -122.42
Polk St & Post St, 37.787, -122.42
Polk St & Sacramento St, 37.7917, -122.421
Polk St & Sutter St, 37.7877, -122.42
Polk St & Union St, 37.799, -122.422
Polk St & Washington St, 37.7935, -122.421
6 Portola Dr, 37.75, -122.443
120 Portola Dr, 37.749, -122.444
Portola Dr & Burnett Ave, 37.747, -122.445
Portola Dr & Clarendon Ave, 37.7397, -122.465
Portola Dr & Clipper St, 37.7472, -122.444
Portola Dr & Del Sur Ave, 37.742, -122.456
Portola Dr & Dorchester Way, 37.7401, -122.463
Portola Dr & Glenview Dr, 37.7465, -122.448
Post St & Larkin St, 37.787, -122.418
Post St & Leavenworth St, 37.7874, -122.415
Post St & Laguna St, 37.7858, -122.428
Post St & Montgomery St, 37.789, -122.402
Post St & Octavia St, 37.7859, -122.427
Post St & Polk St, 37.7868, -122.42
Post St & Powell St, 37.7883, -122.408
Post St & Taylor St, 37.7879, -122.411
Post St & Van Ness Ave, 37.7866, -122.421
Potrero Ave & 16th St, 37.766, -122.407
Potrero Ave & 21st St, 37.7575, -122.407
Potrero Ave & 23rd St, 37.7551, -122.407
Potrero Ave & 24th St, 37.7534, -122.406
Potrero Ave & 25th St, 37.7516, -122.406
Potrero Ave & Alameda St, 37.7683, -122.408
Powell St & Bay St, 37.8057, -122.412
Powell St & Beach St, 37.808, -122.413
Powell St & Bush St, 37.7902, -122.409
Powell St & California St, 37.7923, -122.409
Powell St & Clay St, 37.7938, -122.409
Quintara St & 27th Ave, 37.7482, -122.485
Quintara St & 28th Ave, 37.7483, -122.486
Quintara St & 29th Ave, 37.7482, -122.487
Quintara St & 31st Ave, 37.7481, -122.489
Quintara St & 33rd Ave, 37.7481, -122.491
Quintara St & 35th Ave, 37.748, -122.493
Quintara St & 36th Ave, 37.7478, -122.494
Quintara St & 39th Ave, 37.7476, -122.498
Quintara St & 41st Ave, 37.7477, -122.5
Quintara St & 44th Ave, 37.7474, -122.503
Quintara St & 46th Ave, 37.7474, -122.505
Quintara St & 48th Ave, 37.7473, -122.507
Quintara St & Cragmont Ave, 37.7491, -122.468
Quintara St & Funston Ave, 37.749, -122.469
Randolph St & Arch St, 37.7143, -122.467
Randolph St & Bright St, 37.7143, -122.463
Randall St & Whitney St, 37.7397, -122.428
Richardson Ave & Francisco St, 37.8004, -122.447
Reddy St & Thornton Ave, 37.731, -122.395
Reddy St & Williams Ave, 37.7298, -122.395
