Route_name,Stop_name,Stop_name
KLM Bus Muni Metro Shuttle,Ulloa St & West Portal Ave,West Portal Ave & Sloat Blvd
KLM Bus Muni Metro Shuttle,Laguna Honda Blvd/Forest Hill Sta,Ulloa St & West Portal Ave
KLM Bus Muni Metro Shuttle,Market St & Castro St,Laguna Honda Blvd/Forest Hill Sta
KLM Bus Muni Metro Shuttle,Market St & Noe St,Market St & Castro St
KLM Bus Muni Metro Shuttle,Market St & Sanchez St,Market St & Noe St
KLM Bus Muni Metro Shuttle,Market St & Church St,Market St & Sanchez St
KLM Bus Muni Metro Shuttle,Market St & Dolores St,Market St & Church St
KLM Bus Muni Metro Shuttle,Market St & Guerrero St,Market St & Dolores St
KLM Bus Muni Metro Shuttle,Market St & Gough St,Market St & Guerrero St
KLM Bus Muni Metro Shuttle,Market St & South Van Ness Ave,Market St & Gough St
KLM Bus Muni Metro Shuttle,Market St & 9th St,Market St & South Van Ness Ave
KLM Bus Muni Metro Shuttle,Market St & 8th St,Market St & 9th St
KLM Bus Muni Metro Shuttle,Market St & 7th St,Market St & 8th St
KLM Bus Muni Metro Shuttle,Market St & 6th St,Market St & 7th St
KLM Bus Muni Metro Shuttle,Market St & 5th St,Market St & 6th St
KLM Bus Muni Metro Shuttle,Market St & 4th St,Market St & 5th St
KLM Bus Muni Metro Shuttle,Market St & 3rd St,Market St & 4th St
KLM Bus Muni Metro Shuttle,Market St & New Montgomery St,Market St & 3rd St
KLM Bus Muni Metro Shuttle,Market St & 1st St,Market St & New Montgomery St
KLM Bus Muni Metro Shuttle,Market St & Main St,Market St & 1st St
KLM Bus Muni Metro Shuttle,Market St & Beale St,Market St & Main St
KLM Bus Muni Metro Shuttle,Spear St & Market St,Market St & Beale St
KLM Bus Muni Metro Shuttle,Market St & Drumm St,Steuart St & Market St
KLM Bus Muni Metro Shuttle,Market St & Battery St,Market St & Drumm St
KLM Bus Muni Metro Shuttle,Market St & 2nd St,Market St & Battery St
KLM Bus Muni Metro Shuttle,Market St & Kearny St,Market St & 2nd St
KLM Bus Muni Metro Shuttle,Market St & Stockton St,Market St & Kearny St
KLM Bus Muni Metro Shuttle,Market St & 5th  St,Market St & Stockton St
KLM Bus Muni Metro Shuttle,Market St & Taylor St,Market St & 5th  St
KLM Bus Muni Metro Shuttle,Market St & 7th St,Market St & Taylor St
KLM Bus Muni Metro Shuttle,Market St & Hyde St,Market St & 7th St
KLM Bus Muni Metro Shuttle,Market St & Larkin St,Market St & Hyde St
KLM Bus Muni Metro Shuttle,Market St & Van Ness Ave,Market St & Larkin St
KLM Bus Muni Metro Shuttle,Market St & Gough St,Market St & Van Ness Ave
KLM Bus Muni Metro Shuttle,Market St & Laguna St,Market St & Gough St
KLM Bus Muni Metro Shuttle,Market St & Buchanan St,Market St & Laguna St
KLM Bus Muni Metro Shuttle,Market St & Church St,Market St & Buchanan St
KLM Bus Muni Metro Shuttle,Market St & Sanchez St,Market St & Church St
KLM Bus Muni Metro Shuttle,Market St & 16th St,Market St & Sanchez St
KLM Bus Muni Metro Shuttle,Market St & 17th St,Market St & 16th St
KLM Bus Muni Metro Shuttle,Laguna Honda Blvd/Forest Hill Sta,Market St & 17th St
KLM Bus Muni Metro Shuttle,Ulloa St & Claremont St,Laguna Honda Blvd/Forest Hill Sta
KLM Bus Muni Metro Shuttle,West Portal Ave & Sloat Blvd,Ulloa St & Claremont St
K Ingleside,Ocean Ave/CCSF Pedestrian Bridge,San Jose Ave & Geneva Ave
K Ingleside,Ocean Ave & Lee St,Ocean Ave/CCSF Pedestrian Bridge
K Ingleside,Ocean Ave & Miramar Ave,Ocean Ave & Lee St
K Ingleside,Ocean Ave & Dorado Ter,Ocean Ave & Miramar Ave
K Ingleside,Ocean Ave & Fairfield Way,Ocean Ave & Dorado Ter
K Ingleside,Ocean Ave & Westgate Dr,Ocean Ave & Fairfield Way
K Ingleside,Ocean Ave & Aptos Ave,Ocean Ave & Westgate Dr
K Ingleside,Ocean Ave & San Leandro Way,Ocean Ave & Aptos Ave
K Ingleside,Junipero Serra Blvd & Ocean Ave,Ocean Ave & San Leandro Way
K Ingleside,West Portal/Sloat/St Francis Circle,Junipero Serra Blvd & Ocean Ave
K Ingleside,West Portal Ave & 14th Ave,West Portal/Sloat/St Francis Circle
K Ingleside,West Portal Station,West Portal Ave & 14th Ave
K Ingleside,Metro Forest Hill Station/Downtown,West Portal Station
K Ingleside,Metro Castro Station/Downtown,Metro Forest Hill Station/Downtown
K Ingleside,Metro Church Station/Downtown,Metro Castro Station/Downtown
K Ingleside,Metro Van Ness Station,Metro Church Station/Downtown
K Ingleside,Metro Civic Center Station/Downtn,Metro Van Ness Station
K Ingleside,Metro Powell Station/Downtown,Metro Civic Center Station/Downtn
K Ingleside,Metro Montgomery Station/Downtown,Metro Powell Station/Downtown
K Ingleside,Metro Embarcadero Station,Metro Montgomery Station/Downtown
K Ingleside,Metro Montgomery Station/Outbound,Metro Embarcadero Station
K Ingleside,Metro Powell Station/Outbound,Metro Montgomery Station/Outbound
K Ingleside,Metro Civic Center Station/Outbd,Metro Powell Station/Outbound
K Ingleside,Van Ness Station Outbound,Metro Civic Center Station/Outbd
K Ingleside,Metro Church Station/Outbound,Van Ness Station Outbound
K Ingleside,Metro Castro Station/Outbound,Metro Church Station/Outbound
K Ingleside,Forest Hill Station Outbound,Metro Castro Station/Outbound
K Ingleside,West Portal Station,Forest Hill Station Outbound
K Ingleside,West Portal Ave & Ulloa St,West Portal Station
K Ingleside,West Portal Ave & 14th Ave,West Portal Ave & Ulloa St
K Ingleside,West Portal/Sloat/St Francis Circle,West Portal Ave & 14th Ave
K Ingleside,Junipero Serra Blvd & Ocean Ave,West Portal/Sloat/St Francis Circle
K Ingleside,Ocean Ave & San Leandro Way,Junipero Serra Blvd & Ocean Ave
K Ingleside,Ocean Ave & Aptos Ave,Ocean Ave & San Leandro Way
K Ingleside,Ocean Ave & Cerritos Ave,Ocean Ave & Aptos Ave
K Ingleside,Ocean Ave & Victoria St,Ocean Ave & Cerritos Ave
K Ingleside,Ocean Ave & Jules Ave,Ocean Ave & Victoria St
K Ingleside,Ocean Ave & Miramar Ave,Ocean Ave & Jules Ave
K Ingleside,Ocean Ave & Lee St,Ocean Ave & Miramar Ave
K Ingleside,Ocean Ave/CCSF Pedestrian Bridge,Ocean Ave & Lee St
K Ingleside,Balboa Park BART/Mezzanine Level,Ocean Ave/CCSF Pedestrian Bridge
K Ingleside Bus,Ocean Ave & Geneva Ave,San Jose Ave & Geneva Ave
K Ingleside Bus,Ocean Ave & Lee St,Ocean Ave & Geneva Ave
K Ingleside Bus,Ocean Ave & Miramar Ave,Ocean Ave & Lee St
K Ingleside Bus,Ocean Ave & Dorado Ter,Ocean Ave & Miramar Ave
K Ingleside Bus,Ocean Ave & Fairfield Way,Ocean Ave & Dorado Ter
K Ingleside Bus,Ocean Ave & Westgate Dr,Ocean Ave & Fairfield Way
K Ingleside Bus,Ocean Ave & Aptos Ave,Ocean Ave & Westgate Dr
K Ingleside Bus,Ocean Ave & San Leandro Way,Ocean Ave & Aptos Ave
K Ingleside Bus,Junipero Serra Blvd & Ocean Ave,Ocean Ave & San Leandro Way
K Ingleside Bus,West Portal Ave & Sloat Blvd,Junipero Serra Blvd & Ocean Ave
K Ingleside Bus,West Portal Ave & 14th Ave,West Portal Ave & Sloat Blvd
K Ingleside Bus,West Portal Ave & Ulloa St,West Portal Ave & 14th Ave
K Ingleside Bus,Portola Dr & Teresita Blvd,West Portal Ave & Ulloa St
K Ingleside Bus,Portola Dr & Clipper St,Portola Dr & Teresita Blvd
K Ingleside Bus,Market St & Clayton St,Portola Dr & Clipper St
K Ingleside Bus,Market St & Castro St,Market St & Clayton St
K Ingleside Bus,Market St & Noe St,Market St & Castro St
K Ingleside Bus,Market St & Sanchez St,Market St & Noe St
K Ingleside Bus,Market St & Church St,Market St & Sanchez St
K Ingleside Bus,Market St & Dolores St,Market St & Church St
K Ingleside Bus,Market St & Guerrero St,Market St & Dolores St
K Ingleside Bus,Market St & Gough St,Market St & Guerrero St
K Ingleside Bus,Market St & South Van Ness Ave,Market St & Gough St
K Ingleside Bus,Market St & 9th St,Market St & South Van Ness Ave
K Ingleside Bus,Market St & 8th St,Market St & 9th St
K Ingleside Bus,Market St & 7th St,Market St & 8th St
K Ingleside Bus,Market St & 6th St,Market St & 7th St
K Ingleside Bus,Market St & 5th St,Market St & 6th St
K Ingleside Bus,Market St & 4th St,Market St & 5th St
K Ingleside Bus,Market St & 3rd St,Market St & 4th St
K Ingleside Bus,Market St & New Montgomery St,Market St & 3rd St
K Ingleside Bus,Market St & 1st St,Market St & New Montgomery St
K Ingleside Bus,Market St & Beale St,Market St & 1st St
K Ingleside Bus,Steuart St & Mission St,Market St & Beale St
K Ingleside Bus,Market St & Drumm St,Steuart St & Mission St
