to,from,CoordsFromLat,CoordsFromLong,CoordsToLat,CoordsToLong
Church St & 30th St,Church St & 29th St,37.74219894,-122.42600250,37.74359894,-122.42700195
Church St & 29th St,Church St & 27th St,37.74359894,-122.42700195,37.74700165,-122.42700195
Church St & 27th St,Church St & Clipper St,37.74700165,-122.42700195,37.74940109,-122.42700195
Church St & Clipper St,Church St & 24th St,37.74940109,-122.42700195,37.75180054,-122.42700195
Church St & 24th St,Church St & 22nd St,37.75180054,-122.42700195,37.75460052,-122.42800140
Church St & 22nd St,Right Of Way/21st St,37.75460052,-122.42800140,37.75659943,-122.42700195
Right Of Way/21st St,Right Of Way/Liberty St,37.75659943,-122.42700195,37.75749969,-122.42700195
Right Of Way/Liberty St,Right Of Way/20th St,37.75749969,-122.42700195,37.75830078,-122.42800140
Right Of Way/20th St,Right Of Way/18th St,37.75830078,-122.42800140,37.76119995,-122.42800140
Right Of Way/18th St,Church St & 16th St,37.76119995,-122.42800140,37.76459885,-122.42900085
Church St & 16th St,Church St & Market St,37.76459885,-122.42900085,37.76750183,-122.42900085
Church St & Market St,Church St & Duboce Ave,37.76750183,-122.42900085,37.76929855,-122.42900085
Church St & Duboce Ave,Metro Van Ness Station,37.76929855,-122.42900085,37.77510071,-122.41899872
Metro Van Ness Station,Metro Civic Center Station,37.77510071,-122.41899872,37.77870178,-122.41500092
Metro Civic Center Station,Metro Powell Station,37.77870178,-122.41500092,37.78469849,-122.40699768
Metro Powell Station,Metro Montgomery Station,37.78469849,-122.40699768,37.78879929,-122.40200043
Metro Montgomery Station,Metro Embarcadero Station,37.78879929,-122.40200043,37.79259872,-122.39700317
Metro Embarcadero Station,Metro Montgomery Station,37.79259872,-122.39700317,37.78879929,-122.40200043
Metro Montgomery Station,Metro Powell Station,37.78879929,-122.40200043,37.78469849,-122.40699768
Metro Powell Station,Metro Civic Center Station,37.78469849,-122.40699768,37.77870178,-122.41500092
Metro Civic Center Station,Metro Van Ness Station,37.77870178,-122.41500092,37.77510071,-122.41899872
Metro Van Ness Station,Church St & Market St,37.77510071,-122.41899872,37.76750183,-122.42900085
Church St & Market St,Church St & 16th St,37.76750183,-122.42900085,37.76459885,-122.42900085
Church St & 16th St,Church St & 18th St,37.76459885,-122.42900085,37.76150131,-122.42800140
Church St & 18th St,Right Of Way/20th St,37.76150131,-122.42800140,37.75830078,-122.42800140
Right Of Way/20th St,Right Of Way/Liberty St,37.75830078,-122.42800140,37.75749969,-122.42700195
Right Of Way/Liberty St,Right Of Way/21st St,37.75749969,-122.42700195,37.75659943,-122.42700195
Right Of Way/21st St,Church St & 22nd St,37.75659943,-122.42700195,37.75460052,-122.42800140
Church St & 22nd St,Church St & 24th St,37.75460052,-122.42800140,37.75180054,-122.42700195
Church St & 24th St,Church St & Clipper St,37.75180054,-122.42700195,37.74940109,-122.42700195
Church St & Clipper St,Church St & 27th St,37.74940109,-122.42700195,37.74700165,-122.42700195
Church St & 27th St,Church St & Day St,37.74700165,-122.42700195,37.74280167,-122.42700195
Church St & Day St,30th St & Dolores St,37.74280167,-122.42700195,37.74229813,-122.42400360
30th St & Dolores St,San Jose Ave & Randall St,37.74229813,-122.42400360,37.73970032,-122.42400360
San Jose Ave & Randall St,San Jose Ave/Glen Park Station,37.73970032,-122.42400360,37.73249817,-122.43299866
San Jose Ave/Glen Park Station,San Jose Ave & Santa Rosa Ave,37.73249817,-122.43299866,37.72900009,-122.44000244
San Jose Ave & Santa Rosa Ave,San Jose Ave & Santa Ynez Ave,37.72900009,-122.44000244,37.72589874,-122.44200134
