RouteName, Coords
Walking Distance, "MULTILINESTRING ((-122.418 37.7945, -122.418 37.7929))"
Walking Distance, "MULTILINESTRING ((-122.42 37.8019, -122.419 37.801))"
Walking Distance, "MULTILINESTRING ((-122.42 37.8019, -122.42 37.8028))"
Walking Distance, "MULTILINESTRING ((-122.42 37.8019, -122.419 37.8002))"
Walking Distance, "MULTILINESTRING ((-122.42 37.8019, -122.419 37.7993))"
Walking Distance, "MULTILINESTRING ((-122.42 37.8019, -122.419 37.7992))"
Walking Distance, "MULTILINESTRING ((-122.415 37.7808, -122.415 37.7793))"
Walking Distance, "MULTILINESTRING ((-122.415 37.7808, -122.416 37.7807))"
Walking Distance, "MULTILINESTRING ((-122.415 37.7808, -122.417 37.7804))"
Walking Distance, "MULTILINESTRING ((-122.415 37.7808, -122.417 37.7805))"
Walking Distance, "MULTILINESTRING ((-122.42 37.8056, -122.42 37.8048))"
Walking Distance, "MULTILINESTRING ((-122.42 37.8056, -122.421 37.8067))"
Walking Distance, "MULTILINESTRING ((-122.42 37.8056, -122.42 37.8058))"
Walking Distance, "MULTILINESTRING ((-122.42 37.8056, -122.422 37.8056))"
Walking Distance, "MULTILINESTRING ((-122.42 37.8056, -122.422 37.8063))"
Walking Distance, "MULTILINESTRING ((-122.418 37.7954, -122.418 37.7945))"
Walking Distance, "MULTILINESTRING ((-122.418 37.7954, -122.419 37.7965))"
Walking Distance, "MULTILINESTRING ((-122.418 37.7954, -122.418 37.7946))"
Walking Distance, "MULTILINESTRING ((-122.418 37.7954, -122.416 37.7949))"
Walking Distance, "MULTILINESTRING ((-122.418 37.7954, -122.416 37.7947))"
Walking Distance, "MULTILINESTRING ((-122.417 37.7902, -122.417 37.7892))"
Walking Distance, "MULTILINESTRING ((-122.417 37.7902, -122.418 37.791))"
Walking Distance, "MULTILINESTRING ((-122.417 37.7902, -122.417 37.7911))"
Walking Distance, "MULTILINESTRING ((-122.417 37.7902, -122.419 37.7909))"
Walking Distance, "MULTILINESTRING ((-122.416 37.7826, -122.415 37.7808))"
Walking Distance, "MULTILINESTRING ((-122.416 37.7826, -122.416 37.7826))"
Walking Distance, "MULTILINESTRING ((-122.416 37.7826, -122.417 37.7825))"
Walking Distance, "MULTILINESTRING ((-122.416 37.7826, -122.414 37.7828))"
Walking Distance, "MULTILINESTRING ((-122.419 37.7992, -122.419 37.7983))"
Walking Distance, "MULTILINESTRING ((-122.419 37.7992, -122.419 37.8002))"
Walking Distance, "MULTILINESTRING ((-122.419 37.7992, -122.419 37.7993))"
Walking Distance, "MULTILINESTRING ((-122.419 37.7992, -122.418 37.7994))"
Walking Distance, "MULTILINESTRING ((-122.419 37.7992, -122.421 37.7991))"
Walking Distance, "MULTILINESTRING ((-122.419 37.7974, -122.419 37.7965))"
Walking Distance, "MULTILINESTRING ((-122.419 37.7974, -122.419 37.7983))"
Walking Distance, "MULTILINESTRING ((-122.419 37.7974, -122.419 37.7992))"
Walking Distance, "MULTILINESTRING ((-122.419 37.7974, -122.419 37.7993))"
Walking Distance, "MULTILINESTRING ((-122.419 37.7974, -122.418 37.7956))"
Walking Distance, "MULTILINESTRING ((-122.407 37.7381, -122.407 37.7396))"
Walking Distance, "MULTILINESTRING ((-122.407 37.7381, -122.404 37.7388))"
Walking Distance, "MULTILINESTRING ((-122.407 37.7381, -122.407 37.7377))"
Walking Distance, "MULTILINESTRING ((-122.407 37.7381, -122.407 37.7399))"
Walking Distance, "MULTILINESTRING ((-122.407 37.7381, -122.403 37.7391))"
Walking Distance, "MULTILINESTRING ((-122.404 37.7388, -122.401 37.7396))"
Walking Distance, "MULTILINESTRING ((-122.404 37.7388, -122.403 37.7391))"
Walking Distance, "MULTILINESTRING ((-122.404 37.7388, -122.407 37.7381))"
Walking Distance, "MULTILINESTRING ((-122.404 37.7388, -122.407 37.7399))"
Walking Distance, "MULTILINESTRING ((-122.401 37.7396, -122.398 37.7382))"
Walking Distance, "MULTILINESTRING ((-122.401 37.7396, -122.401 37.7395))"
Walking Distance, "MULTILINESTRING ((-122.401 37.7396, -122.401 37.741))"
Walking Distance, "MULTILINESTRING ((-122.401 37.7396, -122.403 37.7391))"
Walking Distance, "MULTILINESTRING ((-122.403 37.7391, -122.407 37.7381))"
Walking Distance, "MULTILINESTRING ((-122.403 37.7391, -122.404 37.7388))"
Walking Distance, "MULTILINESTRING ((-122.403 37.7391, -122.401 37.7396))"
Walking Distance, "MULTILINESTRING ((-122.403 37.7391, -122.401 37.7395))"
Walking Distance, "MULTILINESTRING ((-122.372 37.7299, -122.374 37.7309))"
Walking Distance, "MULTILINESTRING ((-122.372 37.7299, -122.37 37.7289))"
Walking Distance, "MULTILINESTRING ((-122.372 37.7299, -122.373 37.7288))"
Walking Distance, "MULTILINESTRING ((-122.372 37.7299, -122.373 37.7287))"
Walking Distance, "MULTILINESTRING ((-122.372 37.7299, -122.371 37.7282))"
Walking Distance, "MULTILINESTRING ((-122.374 37.7309, -122.376 37.732))"
Walking Distance, "MULTILINESTRING ((-122.374 37.7309, -122.372 37.7299))"
Walking Distance, "MULTILINESTRING ((-122.374 37.7309, -122.374 37.7309))"
Walking Distance, "MULTILINESTRING ((-122.374 37.7309, -122.374 37.7303))"
Walking Distance, "MULTILINESTRING ((-122.374 37.7309, -122.375 37.7299))"
Walking Distance, "MULTILINESTRING ((-122.374 37.7309, -122.374 37.7309))"
Walking Distance, "MULTILINESTRING ((-122.374 37.7309, -122.375 37.7299))"
Walking Distance, "MULTILINESTRING ((-122.374 37.7309, -122.376 37.732))"
Walking Distance, "MULTILINESTRING ((-122.376 37.732, -122.377 37.7329))"
Walking Distance, "MULTILINESTRING ((-122.376 37.732, -122.374 37.7309))"
Walking Distance, "MULTILINESTRING ((-122.376 37.732, -122.377 37.731))"
Walking Distance, "MULTILINESTRING ((-122.376 37.732, -122.374 37.7309))"
Walking Distance, "MULTILINESTRING ((-122.376 37.732, -122.374 37.7303))"
Walking Distance, "MULTILINESTRING ((-122.377 37.7329, -122.379 37.7344))"
Walking Distance, "MULTILINESTRING ((-122.377 37.7329, -122.376 37.732))"
Walking Distance, "MULTILINESTRING ((-122.377 37.7329, -122.379 37.7316))"
Walking Distance, "MULTILINESTRING ((-122.377 37.7329, -122.377 37.731))"
Walking Distance, "MULTILINESTRING ((-122.377 37.7329, -122.38 37.7325))"
Walking Distance, "MULTILINESTRING ((-122.38 37.7306, -122.381 37.7308))"
Walking Distance, "MULTILINESTRING ((-122.38 37.7306, -122.38 37.731))"
Walking Distance, "MULTILINESTRING ((-122.38 37.7306, -122.381 37.7306))"
Walking Distance, "MULTILINESTRING ((-122.38 37.7306, -122.379 37.7311))"
Walking Distance, "MULTILINESTRING ((-122.38 37.7335, -122.38 37.7325))"
Walking Distance, "MULTILINESTRING ((-122.38 37.7335, -122.38 37.7342))"
Walking Distance, "MULTILINESTRING ((-122.38 37.7335, -122.382 37.7333))"
Walking Distance, "MULTILINESTRING ((-122.38 37.7335, -122.379 37.7352))"
Walking Distance, "MULTILINESTRING ((-122.385 37.7284, -122.386 37.7295))"
Walking Distance, "MULTILINESTRING ((-122.385 37.7284, -122.385 37.7285))"
Walking Distance, "MULTILINESTRING ((-122.385 37.7284, -122.386 37.7273))"
Walking Distance, "MULTILINESTRING ((-122.385 37.7284, -122.383 37.7299))"
Walking Distance, "MULTILINESTRING ((-122.386 37.7273, -122.385 37.7284))"
Walking Distance, "MULTILINESTRING ((-122.386 37.7273, -122.387 37.726))"
Walking Distance, "MULTILINESTRING ((-122.386 37.7273, -122.385 37.7285))"
Walking Distance, "MULTILINESTRING ((-122.386 37.7273, -122.386 37.7295))"
Walking Distance, "MULTILINESTRING ((-122.386 37.7273, -122.389 37.727))"
