id, name, lat, long
124,Louisburg St & Geneva Ave,37.7216,-122.449
125,Louisburg St & Niagra Ave,37.7204,-122.45
126,Letterman Dr & Tide Bldg,37.7994,-122.452
127,Letterman Dr & Lincoln Blvd,37.7992,-122.452
128,Lincoln Way & 3rd Ave,37.7661,-122.46
129,Lincoln Way & 5th Ave,37.7662,-122.462
130,Lincoln Way & 9th Ave,37.766,-122.467
131,Lincoln Way & 15th Ave,37.7657,-122.473
132,Lincoln Way & 17th Ave,37.7656,-122.475
133,Lincoln Way & 19th Ave,37.7655,-122.478
134,Lincoln Way & 21st Ave,37.7654,-122.48
135,Lincoln Way & 25th Ave,37.7652,-122.484
136,Lincoln Way & 27th Ave,37.7651,-122.486
137,Lincoln Way & 29th Ave,37.765,-122.488
138,Lincoln Way & 30th Ave,37.7649,-122.489
139,Lincoln Way & 31st Ave,37.7649,-122.49
140,Lincoln Way & 33rd Ave,37.7648,-122.493
141,Lincoln Way & 35th Ave,37.7648,-122.495
142,Lincoln Way & 47th Ave,37.7642,-122.507
143,Lincoln Way & Arguello Blvd,37.766,-122.458
144,Lincoln Way & Funston Ave,37.7658,-122.471
145,Lincoln Way & Great Hwy,37.7641,-122.51
146,Lincoln Way & La Playa St,37.7639,-122.51
147,Lyell St & Alemany Blvd,37.7306,-122.431
148,Lyon St & Greenwich St,37.7974,-122.447
149,Main St & Howard St,37.7911,-122.394
150,Main St & Mission St,37.792,-122.395
151,Main St & Market St,37.7925,-122.396
152,Mansell St & Brussels St,37.7211,-122.403
153,Mansell St & Dartmouth St,37.7196,-122.409
154,Mansell St & Goettingen St,37.7207,-122.404
155,Mansell St & Hamilton St,37.7201,-122.407
156,Mansell St & John F Shelley Dr,37.7188,-122.418
157,Mansell St & San Bruno Ave,37.7214,-122.401
158,Mansell St & Somerset St,37.7204,-122.405
159,Mansell St & University St,37.719,-122.411
160,Mansell St & Visitacion Ave,37.7188,-122.411
161,Mason St & Broadway,37.7972,-122.412
162,Mason St & Filbert St,37.801,-122.413
163,Mason St & Greenwich St,37.8019,-122.413
164,Mason St & Green St,37.7991,-122.412
165,Mason St & Jackson St,37.7955,-122.412
166,Mason St & Pacific Ave,37.7962,-122.412
167,Mason St & Union St,37.8,-122.412
168,Mason St & Vallejo St,37.7982,-122.412
169,Mason St & Washington St,37.7945,-122.411
170,McAllister St & Baker St,37.7774,-122.442
171,McAllister St & Divisadero St,37.7778,-122.438
172,McAllister St & Fillmore St,37.7786,-122.432
173,McAllister St & Gough St,37.7797,-122.424
174,McAllister St & Hyde St,37.7807,-122.416
175,McAllister St & Larkin St,37.7805,-122.417
176,McAllister St & Laguna St,37.7793,-122.427
177,McAllister St & Pierce St,37.7782,-122.435
178,McAllister St & Van Ness Ave,37.7801,-122.421
179,Metro Powell Station,37.7847,-122.407
180,Balboa Park BART Mezzanine Level,37.7218,-122.447
181,Metro Van Ness Station,37.7751,-122.419
182,Monterey Blvd & Acadia St,37.7317,-122.438
183,Monterey Blvd & Baden St,37.7317,-122.44
184,Monterey Blvd & Congo St,37.7317,-122.442
185,Monterey Blvd & Detroit St,37.7316,-122.445
186,Monterey Blvd & Edna St,37.7316,-122.446
187,Monterey Blvd & El Verano Way,37.7301,-122.462
188,Monterey Blvd & Faxon Ave,37.7307,-122.459
189,Monterey Blvd & Foerster St,37.7316,-122.449
190,Monterey Blvd & Gennessee St,37.7315,-122.451
191,Monterey Blvd & Northgate Dr,37.73,-122.462
192,Monterey Blvd & Plymouth Ave,37.7311,-122.457
193,Monterey Blvd & Ridgewood Ave,37.7316,-122.453
194,Monterey Blvd & Saint Elmo Way,37.7306,-122.46
195,Monterey Blvd & San Aleso Ave,37.7323,-122.465
196,Monterey Blvd & San Jacinto Way,37.732,-122.464
197,Monterey Blvd & Valdez Ave,37.7314,-122.456
198,Mt Vernon Ave & Howth St,37.7197,-122.452
199,Mt Vernon Ave & Louisburg St,37.7194,-122.451
200,555 Myra Way,37.7382,-122.451
201,Myra Way & Dalewood Way,37.7367,-122.454
202,Myra Way & Molimo Dr,37.7378,-122.451
203,Myra Way & Omar Way,37.7392,-122.45
204,North Point St & Hyde St,37.8058,-122.42
205,North Point St & Jones St,37.8062,-122.417
206,North Point St & Kearny St,37.8074,-122.408
207,North Point St & Larkin St,37.8056,-122.422
208,North Point St & Mason St,37.8066,-122.414
209,North Point St & Polk St,37.8053,-122.424
210,North Point St & Stockton St,37.807,-122.41
211,North Point St & Van Ness Ave,37.805,-122.425
212,Naples St & Athens St,37.7125,-122.437
213,Naples St & Brunswick St,37.7118,-122.438
214,Naples St & Brazil Ave,37.7225,-122.43
215,Naples St & Curtis St,37.7111,-122.439
216,Naples St & Geneva Ave,37.7142,-122.436
217,Naples St & Rolph St,37.7135,-122.437
218,Naples St & Seville St,37.7117,-122.438
219,Newcomb Ave & Keith St,37.7332,-122.386
220,Newcomb Ave & La Salle Ave,37.733,-122.385
221,Newcomb Ave & Newhall St,37.7363,-122.392
222,Newhall St & Oakdale Ave,37.7358,-122.392
223,Middle Point Rd & Innes Ave,37.7342,-122.38
224,Middle Point Rd & Acacia Ave,37.737,-122.379
225,Middle Point Rd & West Point Rd,37.7352,-122.379
226,Mendell St & Cargo Way,37.7437,-122.383
227,Mendell St & Newhall St,37.7425,-122.384
228,Mendell St/US Post Office,37.7411,-122.384
229,Mendell St Opposite US Post Office,37.7411,-122.385
230,V.A. Hospital,37.7818,-122.504
231,126 Miraloma Dr,37.7377,-122.461
232,Miraloma Dr & Bengal Aly,37.7379,-122.461
233,Miraloma Dr & Juanita Way,37.7394,-122.46
234,Mission St & Richland Ave,37.7356,-122.425
235,Mission St & Russia Ave,37.7215,-122.437
236,Mission St & Ruth St,37.7233,-122.436
237,Mission St & Sickles Ave,37.7087,-122.453
238,Mission St & Silver Ave,37.7287,-122.431
239,Mission St & Spear St,37.7924,-122.394
240,Mission St & Trumbull St,37.7307,-122.429
