to,from,CoordsFromLat,CoordsFromLong,CoordsToLat,CoordsToLong
Church St & 30th St,Church St & 29th St,37.74222183,-122.42646027,37.74358749,-122.42658234
Church St & 29th St,Church St & 27th St,37.74358749,-122.42658234,37.74698639,-122.42707062
Church St & 27th St,Church St & Clipper St,37.74698639,-122.42707062,37.74938965,-122.42729187
Church St & Clipper St,Church St & 24th St,37.74938965,-122.42729187,37.75180054,-122.42749786
Church St & 24th St,Church St & 22nd St,37.75180054,-122.42749786,37.75460815,-122.42774963
Church St & 22nd St,Right Of Way/21st St,37.75460815,-122.42774963,37.75664139,-122.42692566
Right Of Way/21st St,Right Of Way/Liberty St,37.75664139,-122.42692566,37.75745010,-122.42700195
Right Of Way/Liberty St,Right Of Way/20th St,37.75745010,-122.42700195,37.75826263,-122.42792511
Right Of Way/20th St,Right Of Way/18th St,37.75826263,-122.42792511,37.76119232,-122.42818451
Right Of Way/18th St,Church St & 16th St,37.76119232,-122.42818451,37.76462173,-122.42871857
Church St & 16th St,Church St & Market St,37.76462173,-122.42871857,37.76750946,-122.42892456
Church St & Market St,Church St & Duboce Ave,37.76750946,-122.42892456,37.76932144,-122.42903137
Church St & Duboce Ave,Metro Van Ness Station,37.76932144,-122.42903137,37.77512741,-122.41925049
Metro Van Ness Station,Metro Civic Center Station,37.77512741,-122.41925049,37.77867508,-122.41499329
Metro Civic Center Station,Metro Powell Station,37.77867508,-122.41499329,37.78465271,-122.40708923
Metro Powell Station,Metro Montgomery Station,37.78465271,-122.40708923,37.78879166,-122.40213013
Metro Montgomery Station,Metro Embarcadero Station,37.78879166,-122.40213013,37.79259109,-122.39727020
Metro Embarcadero Station,Metro Montgomery Station,37.79259109,-122.39727020,37.78879166,-122.40213013
Metro Montgomery Station,Metro Powell Station,37.78879166,-122.40213013,37.78465271,-122.40708923
Metro Powell Station,Metro Civic Center Station,37.78465271,-122.40708923,37.77867508,-122.41499329
Metro Civic Center Station,Metro Van Ness Station,37.77867508,-122.41499329,37.77512741,-122.41925049
Metro Van Ness Station,Church St & Market St,37.77512741,-122.41925049,37.76750946,-122.42892456
Church St & Market St,Church St & 16th St,37.76750946,-122.42892456,37.76462173,-122.42871857
Church St & 16th St,Church St & 18th St,37.76462173,-122.42871857,37.76146698,-122.42841339
Church St & 18th St,Right Of Way/20th St,37.76146698,-122.42841339,37.75826263,-122.42792511
Right Of Way/20th St,Right Of Way/Liberty St,37.75826263,-122.42792511,37.75745010,-122.42700195
Right Of Way/Liberty St,Right Of Way/21st St,37.75745010,-122.42700195,37.75664139,-122.42692566
Right Of Way/21st St,Church St & 22nd St,37.75664139,-122.42692566,37.75460815,-122.42774963
Church St & 22nd St,Church St & 24th St,37.75460815,-122.42774963,37.75180054,-122.42749786
Church St & 24th St,Church St & Clipper St,37.75180054,-122.42749786,37.74938965,-122.42729187
Church St & Clipper St,Church St & 27th St,37.74938965,-122.42729187,37.74698639,-122.42707062
Church St & 27th St,Church St & Day St,37.74698639,-122.42707062,37.74280930,-122.42665100
Church St & Day St,30th St & Dolores St,37.74280930,-122.42665100,37.74230576,-122.42402649
30th St & Dolores St,San Jose Ave & Randall St,37.74230576,-122.42402649,37.73974228,-122.42415619
San Jose Ave & Randall St,San Jose Ave/Glen Park Station,37.73974228,-122.42415619,37.73252487,-122.43341827
San Jose Ave/Glen Park Station,San Jose Ave & Santa Rosa Ave,37.73252487,-122.43341827,37.72899246,-122.43991852
San Jose Ave & Santa Rosa Ave,San Jose Ave & Santa Ynez Ave,37.72899246,-122.43991852,37.72587585,-122.44235992
San Jose Ave & Santa Ynez Ave,San Jose Ave & Ocean Ave,37.72587585,-122.44235992,37.72308350,-122.44470215
San Jose Ave & Ocean Ave,Balboa Park BART Mezzanine Level,37.72308350,-122.44470215,37.72180939,-122.44742584
Balboa Park BART Mezzanine Level,San Jose Ave & Geneva Ave,37.72180939,-122.44742584,37.72123718,-122.44622040
West Portal Ave & Sloat Blvd,Ulloa St & West Portal Ave,37.73503876,-122.47134399,37.74100876,-122.46616364
Ulloa St & West Portal Ave,Laguna Honda Blvd/Metro Forest Hill Station,37.74100876,-122.46616364,37.74811935,-122.45886993
Laguna Honda Blvd/Metro Forest Hill Station,Market St & Castro St,37.74811935,-122.45886993,37.76292038,-122.43460846
Market St & Castro St,Market St & Noe St,37.76292038,-122.43460846,37.76448822,-122.43281555
Market St & Main St,Market St & Beale St,37.79298401,-122.39662933,37.79257202,-122.39701843
Market St & Beale St,Spear St & Market St,37.79257202,-122.39701843,37.79339981,-122.39527893
Steuart St & Market St,Market St & Drumm St,37.79441071,-122.39453888,37.79347229,-122.39617920
Market St & Sanchez St,Market St & 16th St,37.76618576,-122.43070984,37.76390839,-122.43366241
Market St & 16th St,Market St & Castro St,37.76390839,-122.43366241,37.76292038,-122.43460846
Market St & Castro St,Laguna Honda Blvd/Metro Forest Hill Station,37.76292038,-122.43460846,37.74811935,-122.45886993
Laguna Honda Blvd/Metro Forest Hill Station,Ulloa St & Claremont Blvd,37.74811935,-122.45886993,37.74076080,-122.46540833
Ulloa St & Claremont Blvd,West Portal Ave & Sloat Blvd,37.74076080,-122.46540833,37.73503876,-122.47134399
San Jose Ave & Geneva Ave,Ocean Ave/CCSF Pedestrian Bridge,37.72123718,-122.44622040,37.72304153,-122.45144653
Ocean Ave/CCSF Pedestrian Bridge,Ocean Ave & Lee St,37.72304153,-122.45144653,37.72345734,-122.45400238
Ocean Ave & Lee St,Ocean Ave & Miramar Ave,37.72345734,-122.45400238,37.72438812,-122.45807648
Ocean Ave & Miramar Ave,Ocean Ave & Dorado Ter,37.72438812,-122.45807648,37.72495651,-122.46105957
Ocean Ave & Dorado Ter,Ocean Ave & Fairfield Way,37.72495651,-122.46105957,37.72600937,-122.46407318
Ocean Ave & Fairfield Way,Ocean Ave & Westgate Dr,37.72600937,-122.46407318,37.72719955,-122.46647644
Ocean Ave & Westgate Dr,Ocean Ave & Aptos Ave,37.72719955,-122.46647644,37.72828674,-122.46755981
Ocean Ave & Aptos Ave,Ocean Ave & San Leandro Way,37.72828674,-122.46755981,37.72998810,-122.46909332
Ocean Ave & San Leandro Way,Junipero Serra Blvd & Ocean Ave,37.72998810,-122.46909332,37.73136139,-122.47167206
Junipero Serra Blvd & Ocean Ave,West Portal Ave & Sloat Blvd,37.73136139,-122.47167206,37.73503876,-122.47134399
West Portal Ave & Sloat Blvd,West Portal Ave & 14th Ave,37.73503876,-122.47134399,37.73785019,-122.46914673
West Portal Ave & 14th Ave,West Portal Station,37.73785019,-122.46914673,37.74098969,-122.46576691
West Portal Station,Metro Forest Hill Station,37.74098969,-122.46576691,37.74816895,-122.45919037
Metro Forest Hill Station,Metro Castro Station,37.74816895,-122.45919037,37.76268387,-122.43528748
Metro Castro Station,Metro Church Station,37.76268387,-122.43528748,37.76732635,-122.42932129
Metro Church Station,Metro Van Ness Station,37.76732635,-122.42932129,37.77512741,-122.41925049
Metro Van Ness Station,Metro Church Station,37.77512741,-122.41925049,37.76732635,-122.42932129
Metro Church Station,Metro Castro Station,37.76732635,-122.42932129,37.76268387,-122.43528748
Metro Castro Station,Metro Forest Hill Station,37.76268387,-122.43528748,37.74816895,-122.45919037
Metro Forest Hill Station,West Portal Station,37.74816895,-122.45919037,37.74098969,-122.46576691
